iter	Accuracy	MultiClass
177	0.9410451164	0.2730435632
178	0.9423975091	0.2707742137
179	0.942774921	0.2705570304
180	0.9443002941	0.268068369
181	0.9454482553	0.2656867759
182	0.9457784907	0.2644595068
183	0.9461716281	0.2630731344
184	0.9469264519	0.2620618666
185	0.9473510402	0.2608517756
186	0.9478385306	0.2587815856
187	0.9482473935	0.2581830414
188	0.9488921388	0.2568409293
189	0.9489707663	0.2561506839
190	0.9493167272	0.25514931
191	0.9502759825	0.2531244409
192	0.9503860609	0.2520777919
193	0.9507162963	0.2511570887
194	0.9519271595	0.2496161088
195	0.9534997091	0.247702656
196	0.9537355915	0.2466813233
197	0.9540186504	0.2461636299
198	0.9541916309	0.2447812585
199	0.9544589643	0.243399359
